Processor,Transistor count,Year,Designer,Process ( nm ),Area ( mm 2 ),Transistor density (tr./mm 2 ),Type
R600,"700,000,000",2007,ATI,80 nm,420 mm2,"1,667,000",GPU
Rage 128,"8,000,000",1999,ATI,250 nm,70 mm2,"114,000",GPU
Reality Coprocessor,"2,600,000",1996,SGI,350 nm,81 mm2,"32,100",GPU
Redwood RV830 AMD (ATI),"627,000,000",2010,AMD,40 nm,104 mm2,"6,029,000",GPU
"RSX Reality Synthesizer (Nvidia, Sony)","300,000,000",2005,Nvidia,90 nm,186 mm2,"1,613,000",GPU
RV515,"107,000,000",2005,ATI,90 nm,100 mm2,"1,070,000",GPU
RV530,"157,000,000",2005,ATI,90 nm,150 mm2,"1,047,000",GPU
RV560,"330,000,000",2006,ATI,80 nm,230 mm2,"1,435,000",GPU
RV610,"180,000,000",2007,ATI,65 nm,85 mm2,"2,118,000",GPU
RV620,"181,000,000",2008,ATI,55 nm,67 mm2,"2,701,000",GPU
RV630,"390,000,000",2007,ATI,65 nm,153 mm2,"2,549,000",GPU
RV635,"378,000,000",2008,ATI,55 nm,135 mm2,"2,800,000",GPU
RV670,"666,000,000",2008,ATI,55 nm,192 mm2,"3,469,000",GPU
RV710,"242,000,000",2008,ATI,55 nm,73 mm2,"3,315,000",GPU
RV730,"514,000,000",2008,ATI,55 nm,146 mm2,"3,521,000",GPU
RV740,"826,000,000",2009,ATI,40 nm,137 mm2,"6,029,000",GPU
RV770,"956,000,000",2008,ATI,55 nm,256 mm2,"3,734,000",GPU
RV790,"959,000,000",2008,ATI,55 nm,282 mm2,"3,401,000",GPU
Scorpio (Xbox One X),"6,600,000,000",2017,AMD,16 nm,367 mm2,"17,980,000",GPU
Sony GPU,"1,000,000",1994,Toshiba,500 nm,?,?,GPU
Tahiti GCN1,"4,312,711,873",2011,AMD,28 nm,365 mm2,"11,820,000",GPU
Tom & Jerry,"750,000",1993,Flare,?,?,?,GPU
Tonga GCN3,"5,000,000,000",2014,AMD,28 nm,366 mm2,"13,660,000",GPU
TU102 Turing,"18,600,000,000",2018,Nvidia,12 nm,754 mm2,"24,670,000",GPU
TU104 Turing,"13,600,000,000",2018,Nvidia,12 nm,545 mm2,"24,950,000",GPU
TU106 Turing,"10,800,000,000",2018,Nvidia,12 nm,445 mm2,"24,270,000",GPU
TU116 Turing,"6,600,000,000",2019,Nvidia,12 nm,284 mm2,"23,240,000",GPU
TU117 Turing,"4,700,000,000",2019,Nvidia,12 nm,200 mm2,"23,500,000",GPU
Turks RV930,"716,000,000",2011,AMD,40 nm,118 mm2,"6,068,000",GPU
VDP1,"1,000,000",1994,Sega,500 nm,?,?,GPU
Vega 10 GCN5,"12,500,000,000",2017,AMD,14 nm,484 mm2,"25,830,000",GPU
Vega 20 GCN5,"13,230,000,000",2018,AMD,7 nm,331 mm2,"39,970,000",GPU
Voodoo 2,"4,000,000",1998,3dfx,350 nm,?,?,GPU
Voodoo 3,"8,100,000",1999,3dfx,250 nm,?,?,GPU
Voodoo 4,"14,000,000",2000,3dfx,220 nm,?,?,GPU
Voodoo 5,"28,000,000",2000,3dfx,220 nm,?,?,GPU
Voodoo Graphics,"1,000,000",1996,3dfx,500 nm,?,?,GPU
Voodoo Rush,"1,000,000",1997,3dfx,500 nm,?,?,GPU
Voodoo Rush,"4,000,000",1998,3dfx,350 nm,?,?,GPU
Xenos,"232,000,000",2005,ATI,90 nm,182 mm2,"1,275,000",GPU
YM7101 VDP,"100,000",1988,"Yamaha, Sega",?,?,?,GPU
µPD7220 GDC,"40,000",1982,NEC,"5,000 nm",?,?,GPU
